job_id,hidden_cluster,hidden_start,duration
job_000,cluster_p100,1,3
job_001,cluster_g2,13,1
job_002,cluster_p100,7,4
job_003,cluster_p100,11,3
job_004,cluster_p100,0,3
job_005,cluster_p100,4,3
job_006,cluster_v100m32,9,2
job_007,cluster_p100,14,2
job_008,cluster_g2,4,3
job_009,cluster_g2,4,1
job_010,cluster_g2,7,3
job_011,cluster_p100,8,3
job_012,cluster_t4,8,2
job_013,cluster_t4,3,2
job_014,cluster_g2,1,2
job_015,cluster_v100m32,2,1
job_016,cluster_v100m32,1,1
job_017,cluster_p100,3,1
job_018,cluster_v100m32,4,3
job_019,cluster_g2,14,1
job_020,cluster_v100m32,0,2
job_021,cluster_v100m32,12,2
job_022,cluster_g2,10,2
job_023,cluster_t4,11,3
job_024,cluster_g2,12,1
job_025,cluster_t4,5,2
job_026,cluster_g2,0,4
job_027,cluster_g2,13,3
job_028,cluster_t4,0,3
job_029,cluster_v100m32,7,2
job_030,cluster_g2,5,2
job_031,cluster_t4,7,1
job_032,cluster_v100m32,14,2
job_033,cluster_g2,12,3
job_034,cluster_v100m32,3,1
job_035,cluster_t4,5,1
job_036,cluster_g2,8,2
job_037,cluster_t4,3,1
job_038,cluster_t4,14,2
job_039,cluster_g2,0,1
job_040,cluster_v100m32,14,2
job_041,cluster_v100m32,11,1
job_042,cluster_g2,3,1
job_043,cluster_t4,1,2
job_044,cluster_g2,15,1
job_045,cluster_g2,12,1
job_046,cluster_p100,7,1
job_047,cluster_t4,10,1
job_048,cluster_t4,14,2
job_049,cluster_t4,6,2
job_050,cluster_g2,3,1
job_051,cluster_v100m32,0,1
job_052,cluster_g2,7,1
job_053,cluster_v100m32,4,3
job_054,cluster_p100,0,1
job_055,cluster_g2,3,1
job_056,cluster_t4,6,1
job_057,cluster_t4,0,1
job_058,cluster_g2,9,1
job_059,cluster_v100m32,12,1
job_060,cluster_t4,4,1
job_061,cluster_g2,8,1
job_062,cluster_v100m32,2,2
job_063,cluster_v100m32,9,2
job_064,cluster_v100m32,13,1
job_065,cluster_v100m32,7,2
job_066,cluster_g2,12,1
job_067,cluster_p100,14,2
